,Provincias,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,01 Araba/Álava,2416.5,2404.5,2317.0,2280.0,2081.5,1958.5,1855.0,1718.0,958.0,1554.0,1504.0,1364.0,1302.0,1311.5,696.5,1162.0,1145.5,1122.0,1130.5,5466.0,587.0,1124.0,1113.0,1124.5,1161.0,1243.0,1217.5,1245.5,721.0,1405.0,1395.5,1458.5,832.5,1605.0,1611.0,891.0,1713.5,863.5,1549.5,1638.5,1579.0,1537.0,1481.0,1341.5,1284.0,677.0
1,02 Albacete,2963.5,3034.5,2850.0,2934.5,2727.0,2604.0,2536.0,2582.0,2419.5,2383.0,2207.5,2195.5,1252.0,2096.5,2140.0,2166.5,1141.5,1156.5,1023.0,1971.0,1114.5,1899.5,1856.0,1042.5,1833.0,1832.0,1818.5,1847.0,1905.5,1825.0,1876.5,1136.0,1049.0,1159.5,2075.5,2025.5,1976.0,1849.0,1799.0,1788.0,1738.0,1679.5,1609.5,1520.0,1436.0,752.0
2,03 Alicante/Alacant,5947.0,10923.0,10652.0,5958.5,10028.5,9683.0,9312.5,8809.5,8241.0,7978.0,7757.0,7669.5,7521.0,7605.0,7345.0,7419.5,7273.0,7106.5,3843.0,6645.5,6554.5,6511.5,6405.5,3494.0,6861.0,3843.5,7588.5,4260.0,4825.5,8827.5,9064.5,5349.0,5095.5,10101.0,9170.5,9093.5,8623.0,8338.5,7916.0,7990.0,7952.0,7629.5,7519.5,7080.5,7023.0,6667.0
3,04 Almería,3887.0,4131.0,3982.0,3959.5,3898.0,2158.5,3696.0,1994.5,3548.0,3420.5,3273.5,3190.0,3257.0,3248.5,1619.0,3229.5,3066.0,3070.0,1589.5,2828.5,2843.5,2815.0,1524.0,2853.5,3058.0,1718.5,1839.5,3242.0,3487.0,2119.0,3914.5,4212.5,4237.5,4567.5,4236.0,4256.0,4149.5,3987.5,3885.0,3929.5,1939.0,3908.0,3781.0,3708.5,3643.5,1826.0
4,05 Ávila,1199.0,576.5,1122.0,1125.0,1097.0,1111.5,5247.5,5120.5,9325.0,9550.0,9350.0,9050.0,8645.0,8065.0,8010.0,7975.0,7010.0,6410.0,6750.0,6555.0,6685.0,6310.0,6065.0,5680.0,5855.0,5800.0,5640.0,5615.0,5795.0,6050.0,6615.0,6790.0,6695.0,7630.0,7285.0,7040.0,6720.0,6275.0,5785.0,6215.0,5535.0,5665.0,5360.0,4895.0,4760.0,4425.0
5,06 Badajoz,5211.0,5203.0,4974.5,2821.0,4971.5,5018.5,4855.5,4982.0,4804.5,4669.5,4424.5,4450.0,4453.5,4411.5,4269.0,4084.5,4105.0,4025.5,3859.5,3680.0,3524.0,3423.5,3352.0,3234.0,1777.5,3242.0,3229.5,1719.5,327.5,3198.5,3248.0,3347.5,3281.0,3592.5,3464.5,340.0,1889.5,3238.0,2974.0,3081.5,2964.5,2939.0,2860.5,2605.0,2579.0,2469.0
6,"07 Balears, Illes",5558.0,2965.5,5212.0,5020.5,5060.0,4911.0,4675.0,4577.0,4476.0,4432.5,4480.5,4366.0,4297.0,4366.0,4434.5,4413.0,2277.0,4245.5,3945.5,3841.5,3859.0,2016.0,4088.0,4154.5,2493.5,4751.0,4929.0,5210.0,2888.0,5396.0,5462.5,3286.0,3362.0,6356.5,6022.0,5983.5,5632.5,5501.0,5266.0,5336.5,5298.5,5308.0,5144.0,2744.0,4840.5,2563.0
7,08 Barcelona,25223.5,23446.0,40684.0,37840.5,33658.5,14810.0,12298.5,24985.5,23236.0,24161.0,24910.5,23420.0,22340.5,22092.5,21822.0,12181.5,21425.0,21724.5,21148.5,20686.0,20580.0,20800.5,12246.0,21547.5,22814.0,24246.5,13908.5,26085.5,27656.5,29000.5,29803.5,30433.5,30861.0,32347.0,30857.5,30602.0,15957.0,28319.5,26143.5,26185.5,25679.5,2533.5,24520.0,23343.5,22520.0,11482.5
8,09 Burgos,2788.5,2879.0,2684.5,1323.5,1222.5,1256.5,1123.0,2011.0,1974.0,997.5,1753.5,1725.5,1642.5,1654.0,1585.0,1502.0,1427.5,1434.0,1417.5,1315.0,1229.0,1286.0,1321.0,721.5,1327.5,1389.5,737.0,732.5,1409.0,1484.0,1528.5,1561.5,1625.0,979.5,1655.5,1680.0,1652.0,1561.5,1499.5,1410.5,1380.0,1329.0,1226.5,1175.5,1206.0,605.5
9,10 Cáceres,2932.5,1589.5,2900.0,2926.5,2924.0,3041.0,2895.0,2946.0,2828.5,2663.0,2657.5,2642.0,1464.5,1316.0,2317.5,2222.5,2149.0,2145.5,2033.5,1964.0,1898.0,1857.0,1814.5,1801.0,913.0,1824.5,1722.0,1698.0,1706.0,1751.0,1748.5,1711.5,1709.5,1775.0,1692.5,1664.0,1657.5,1473.5,1466.0,1502.0,1483.0,1452.5,1387.0,725.0,701.5,1221.0
10,11 Cádiz,10985.5,11220.0,11053.5,10830.0,10393.0,10166.0,9787.0,9533.0,9174.0,888.0,8391.5,8153.0,7907.0,7760.0,7589.0,7450.5,7235.5,6999.0,6858.0,3410.0,3364.5,6058.5,6155.0,6041.0,3460.0,6372.0,6432.5,3629.5,6767.0,7020.0,7244.5,7370.5,7248.5,7255.0,7048.5,3612.5,6616.0,3607.0,5931.0,3382.0,5907.0,5907.0,2887.0,2715.5,4872.5,4558.0
11,12 Castellón/Castelló,3426.5,3622.5,3520.0,198.0,1825.5,3199.5,2973.0,2818.0,2606.0,2558.0,2409.5,2325.5,2373.0,223.5,2209.0,2174.5,2179.0,2160.0,2164.0,1163.5,2120.5,2104.5,2153.0,2157.0,2257.0,2321.0,2483.5,2700.0,2800.0,2842.5,1569.0,3343.0,1890.0,1911.0,3285.5,3160.0,3057.5,2909.0,2735.0,2683.5,2549.0,2551.5,1258.5,2290.0,1263.5,2082.0
12,13 Ciudad Real,3831.5,2038.0,3619.5,2071.5,3565.5,1988.5,1935.5,3355.0,3308.5,3242.0,3147.5,3088.0,3042.5,3042.0,3026.0,2943.0,2918.5,2851.0,2777.5,2697.0,2565.0,2409.0,2394.0,2298.5,2280.5,2240.0,2230.0,2193.0,2261.5,2367.0,2452.5,2570.5,2550.5,2823.5,2645.0,2591.5,2524.0,1351.0,2294.0,2122.5,2162.5,2129.0,2006.5,1838.0,1789.0,1706.0
13,14 Córdoba,6346.0,6390.5,6271.0,6219.0,3211.5,3369.0,5703.0,5699.5,2904.5,5442.0,5164.0,5120.5,2682.0,5030.0,4954.0,4904.5,2702.0,4868.0,2525.5,4442.0,4129.0,4038.5,4031.0,2320.0,3975.5,3994.0,3929.0,3942.5,4087.0,2315.0,4139.0,4283.0,2360.5,4339.5,4154.5,3953.5,3959.5,3759.5,3583.5,3589.0,3525.0,1862.0,3248.5,1682.5,2999.0,2824.5
14,"15 Coruña, A",5129.0,9225.0,4791.0,9050.0,8340.5,7748.5,3915.0,7078.5,6552.0,6219.5,5688.5,5165.5,2786.5,4927.0,4654.5,4503.0,4327.0,4308.0,4261.0,3868.5,3732.0,2077.0,3782.5,3786.5,3791.5,3971.5,3978.0,3933.0,4163.0,4273.0,4408.0,2539.5,2407.0,4912.5,4781.0,4686.0,4629.0,2574.5,4225.0,4114.0,4193.0,4169.5,3872.5,3566.0,3307.0,3229.0
15,16 Cuenca,819.0,1458.5,1356.5,1358.5,1292.5,1298.0,644.5,1237.5,1200.0,1158.0,1131.5,1101.5,1106.0,5479.5,1068.0,1051.0,1023.0,4912.5,9425.0,8820.0,8725.0,8460.0,8350.0,7695.0,8140.0,8110.0,8145.0,8365.0,8360.0,8220.0,7905.0,8550.0,8285.0,9335.0,9020.0,8955.0,8700.0,8000.0,7650.0,7745.0,7610.0,7535.0,7035.0,6515.0,6945.0,5965.0
